"DrugBankID","ENTREZID","Symbol"
"DB00928",5058,"PAK1"
"DB00928",79646,"PANK3"
"DB00928",5078,"PAX4"
"DB00928",54510,"PCDH18"
"DB00928",56122,"PCDHB14"
"DB00928",56131,"PCDHB4"
"DB00928",5163,"PDK1"
"DB00928",5166,"PDK4"
"DB00928",5216,"PFN1"
"DB00928",9749,"PHACTR2"
"DB00928",8394,"PIP5K1A"
"DB00928",26207,"PITPNC1"
"DB00928",64219,"PJA1"
"DB00928",9033,"PKD2L1"
"DB00928",5315,"PKM"
"DB00928",23236,"PLCB1"
"DB00928",8611,"PLPP1"
"DB00928",5358,"PLS3"
"DB00928",5371,"PML"
"DB00928",5515,"PPP2CA"
"DB00928",5551,"PRF1"
"DB00928",5617,"PRL"
"DB00928",8492,"PRSS12"
"DB00928",5669,"PSG1"
"DB00928",5728,"PTEN"
"DB00928",5744,"PTHLH"
"DB00928",5524,"PTPA"
"DB00928",5788,"PTPRC"
"DB00928",5872,"RAB13"
"DB00928",81876,"RAB1B"
"DB00928",29127,"RACGAP1"
"DB00928",5903,"RANBP2"
"DB00928",22821,"RASA3"
"DB00928",5954,"RCN1"
"DB00928",5970,"RELA"
